Bin	Methylation	Group
1	0.7484999999999999	CR
2	0.7504000000000001	CR
3	0.7482	CR
4	0.7484999999999999	CR
5	0.7509	CR
6	0.7492	CR
7	0.7490000000000001	CR
8	0.7426999999999999	CR
9	0.7418	CR
10	0.7441	CR
11	0.7387	CR
12	0.7375	CR
13	0.7419	CR
14	0.7379000000000001	CR
15	0.7375	CR
16	0.7340000000000001	CR
17	0.7313	CR
18	0.73	CR
19	0.7253000000000001	CR
20	0.7243	CR
21	0.7166	CR
22	0.7128	CR
23	0.6973	CR
24	0.6887000000000001	CR
25	0.6789000000000001	CR
26	0.6552	CR
27	0.6329	CR
28	0.5979	CR
29	0.5658	CR
30	0.5205	CR
31	0.47240000000000004	CR
32	0.4157	CR
33	0.3588	CR
34	0.29710000000000003	CR
35	0.23309999999999997	CR
36	0.1724	CR
37	0.1235	CR
38	0.0858	CR
39	0.06849999999999999	CR
40	0.0738	CR
41	0.0812	CR
42	0.08529999999999999	CR
43	0.092	CR
44	0.1099	CR
45	0.1286	CR
46	0.159	CR
47	0.2054	CR
48	0.25670000000000004	CR
49	0.3206	CR
50	0.3782	CR
51	0.4329	CR
52	0.47840000000000005	CR
53	0.5244	CR
54	0.5600999999999999	CR
55	0.5851	CR
56	0.6153	CR
57	0.6391	CR
58	0.6592	CR
59	0.6797	CR
60	0.6903	CR
61	0.6984	CR
62	0.7099	CR
63	0.7264	CR
64	0.7227	CR
65	0.7345999999999999	CR
66	0.7413	CR
67	0.7454000000000001	CR
68	0.7519	CR
69	0.7536	CR
70	0.7581	CR
71	0.7578	CR
72	0.7606999999999999	CR
73	0.7646999999999999	CR
74	0.7703	CR
75	0.7709999999999999	CR
76	0.7720999999999999	CR
77	0.7712	CR
78	0.7763	CR
79	0.7815000000000001	CR
80	0.7823	CR
81	0.7798999999999999	CR
82	0.779	CR
83	0.7768	CR
84	0.7773	CR
85	0.7761	CR
86	0.7768999999999999	CR
87	0.7743000000000001	CR
88	0.7752	CR
89	0.7731999999999999	CR
90	0.7752	CR
91	0.7717	CR
92	0.7764	CR
93	0.7748999999999999	CR
