Sample	Promoter	Group
CR1	56.33757559158611	CR
CR2	58.84583566452735	CR
CR3	52.25996058250268	CR
CR4	52.54521631982474	CR
CR5	56.700764463943216	CR
CR6	59.67283327856279	CR
CR7	53.69163435206526	CR
CR8	56.28814367973663	CR
CR9	52.22023304271554	CR
CR10	54.44127906976736	CR
CR11	57.002174461318994	CR
CR12	55.450280261065224	CR
NR1	55.504665095373326	NR
NR2	55.98016737090523	NR
NR3	56.36823168056172	NR
NR4	60.33042774883449	NR
NR5	57.228052674897135	NR
NR6	56.08989139973688	NR
NR7	57.73662992816801	NR
NR8	56.9499851916854	NR
NR9	59.9586000219347	NR
NR10	53.806501699002766	NR
NR11	55.48164062071593	NR
NR12	59.9297870588878	NR
Normal1	53.611800614843766	Normal
Normal2	53.99534969257806	Normal
Normal3	53.77141750878713	Normal
