CR1	CR2	CR3	CR4	CR5	CR6	CR7	CR8	CR9	CR10	CR11	CR12	NR1	NR2	NR3	NR4	NR5	NR6	NR7	NR8	NR9	NR10	NR11	NR12	Normal1	Normal2	Normal3
96.41	80.22	53.87	34.44	49.9	48.57	35.4	74.42	48.27	54.35	76.17	60.84	70.05	27.8	71.85	95.55	85.23	49.32	70.79	59.42	78.67	64.12	43.86	94.53	43.05	34.5	41.15
83.68	84.02	81.87	85.78	83.76	81.8	80.58	77.72	81.25	75.84	81.83	74.11	78.57	83.5	81.04	82.91	71.67	80.48	88.84	84.05	58.18	84.08	84.13	81.18	87.77	88.81	85.62
77.39	77.16	69.1	70.42	84.09	74.02	74.11	72.64	73.14	76.93	73.21	70.97	81.34	71.14	73.93	78.95	70.69	73.03	75.85	76.36	79.72	70.46	67.2	70.99	73.79	75.72	72.95
91.04	88.65	88.67	86.52	94.02	94.29	90.35	86.81	90.77	91.41	91.71	90.65	94.05	87.55	95.92	92.04	89.78	96.25	91.98	92.81	93.52	89.13	92.81	91.08	92.47	91.29	90.44
91.34	92.23	90.06	83.07	94.0	91.57	91.7	91.87	91.61	94.43	94.88	93.84	92.36	90.6	97.94	97.32	89.61	93.26	96.23	90.16	97.59	92.12	93.36	94.05	91.62	95.44	95.45
48.35	62.27	52.97	50.1	64.31	55.84	48.34	55.55	49.55	51.39	53.83	53.4	59.95	69.28	52.3	70.35	59.85	34.08	66.92	54.03	69.49	46.74	51.11	70.35	49.93	51.32	52.26
56.67	85.07	75.26	70.17	84.54	85.26	71.36	52.41	72.54	60.86	77.6	77.3	76.52	69.83	53.6	90.55	78.49	53.55	80.64	82.19	86.44	50.36	74.39	62.88	77.09	78.53	75.6
32.72	34.6	22.0	25.03	30.21	42.09	27.91	26.6	22.69	24.28	25.33	26.47	25.49	28.86	26.45	31.81	21.91	29.54	24.01	24.6	33.74	24.08	25.9	25.08	21.91	22.78	22.15
59.27	60.24	51.74	54.5	63.16	73.58	53.68	69.79	52.62	58.54	59.54	65.08	55.54	51.84	55.94	68.51	61.03	76.24	53.27	69.71	65.36	54.76	55.99	62.07	49.45	50.29	51.99
87.31	93.2	86.41	91.9	96.74	84.13	98.19	90.83	88.14	93.76	97.2	91.92	84.02	87.2	91.94	96.59	90.85	96.93	93.61	91.4	88.58	86.2	90.89	88.88	92.11	90.05	93.36
84.67	90.6	73.3	90.29	92.13	89.49	90.1	92.36	88.57	88.73	92.04	94.48	82.15	92.03	97.26	97.25	71.91	92.46	95.1	93.18	91.07	93.33	93.48	92.03	88.42	92.13	87.54
87.75	80.59	74.78	84.98	86.12	87.98	84.6	83.36	79.34	78.7	83.2	73.88	83.64	86.67	81.27	81.25	80.82	76.61	88.59	87.39	82.01	84.8	82.07	94.5	91.74	89.43	88.34
91.34	94.03	87.44	92.1	94.94	91.53	93.63	89.44	93.46	94.82	94.73	94.47	90.97	92.87	93.81	94.47	94.11	94.37	94.82	91.54	90.69	95.21	92.18	96.03	95.01	92.98	91.96
50.07	52.4	55.3	45.44	54.87	52.09	52.83	49.09	45.89	38.69	56.22	48.67	56.59	71.44	57.76	56.08	57.28	44.28	58.4	47.6	62.13	49.19	40.29	52.45	53.09	54.34	51.86
