GeneSymbol	OR	p-value	m.value	CustomedDEG	meth.diff
ALX3	2.2599620136019283	0.0	8.01786414961536	NR	19.829205366357
ARGFX	2.313172722542016	3.9744786623309486e-210	-0.0543657084539484	None	-6.25673078914136
ARNT2	4.473131423706137	2.3777176501385126e-122	-3.55866940867422	CR	11.506925735049501
ASCL1	4.077884185101142	0.0	-0.781470503829048	None	14.620848335682199
ATF2	2.374656526226051	1.1261176842924462e-86	0.368508127096428	None	-7.87288161564124
ATF3	2.220915808471204	8.703856699953483e-17	-0.855779250478719	None	6.386060370514259
ATF4	2.3439818578438167	4.513271857842083e-74	-0.281739214451129	None	5.8318210392722
ATF6	4.755859828266419	2.2328068506166408e-12	0.55242553831703	None	13.758828941139699
ATF7	2.475918530351437	8.599164299163979e-14	0.411132556483684	None	15.917882776574302
ATOH7	2.792245733040288	0.0	-2.75083429086959	None	2.68028651035951
BACH1	2.448272647281581	1.3468729948386275e-147	0.500626961179083	None	11.2812486781402
BACH2	3.0981876761981475	3.605797492560505e-31	-1.46476296847083	CR	16.7363254454195
BARHL1	2.5818594031011006	0.0	-0.434014286153264	None	9.39637535212608
BARHL2	2.410595614439865	0.0	-1.64721628026054	None	9.83648816307832
BARX1	2.3391830144252217	0.0	1.49235133550977	None	6.52167179428812
BARX2	2.2607248648901543	0.0	-0.160433244713383	None	-11.9294476793404
BATF	2.418938668368434	4.2236555661987e-120	0.343888670305811	None	3.65700429846807
BATF3	2.424192440168937	5.286968433864964e-129	-0.15005841269137	None	4.23664573264456
BCL6	3.1113362602724304	1.2155926253459256e-27	1.14933587312252	None	19.556880821211397
BCL6B	2.1875	0.16054004745151645	-0.327125307342407	None	24.5005409853551
BHLHA15	2.437697500312749	2.002782306826046e-91	-0.668208958861457	None	6.36292831223334
BHLHE22	3.2538950860986984	0.0	-1.55468051910052	None	15.816787597497699
BHLHE23	2.2920776524263218	1.700699693132861e-69	0.977721929716554	None	18.3530874322589
BHLHE40	4.6415392418535415	2.5707629237878215e-124	-0.0265206802395657	None	10.4150014042201
BHLHE41	4.7399627720504025	3.7046588759937283e-45	-1.58479050899456	None	8.58397339459303
BSX	2.3852600771584407	0.0	1.23021629993067	None	6.87679585573079
CDX1	2.276498063183239	2.0435017210233923e-221	-1.79901413705388	None	11.9798848881837
CDX2	2.173640083125441	2.347273352561322e-175	1.05386115746758	None	15.3971058636502
CEBPA	2.3035293728847424	5.345699919865127e-96	-0.365416787929822	None	17.1165487885645
CEBPB	2.7438644688644693	4.508538803992018e-31	0.672587702074837	None	11.1924812609606
CEBPD	2.3879653436714405	6.052153218027453e-115	0.137440016089256	None	2.77540493362297
CEBPE	2.7239638534054778	8.346608651988062e-38	-0.962668865990419	None	-9.20804685721091
CEBPG	2.4062018793835054	5.0114001525252255e-179	0.023074346800442	None	7.98378639981961
CLOCK	3.1368986603545554	0.0	0.673156290424771	None	10.742996748047199
CREB1	2.6062337534238504	2.4908923628482555e-90	0.182121778778713	None	10.4028984138973
CREB3	5.276315789473684	1.078686154644436e-24	-0.0939364593673719	None	10.0137174211252
CREB3L1	4.256823821339951	7.36813435365139e-11	-2.2605471518258	None	12.278781243222197
CREB3L4	3.6870438370207297	2.0113207798357633e-84	-0.990834743100345	None	9.60622135517576
CREM	2.797566371681416	2.4405372731062057e-07	-0.834273320817182	None	11.394777847398501
CTCF	5.08794466403162	6.400610473033457e-35	-0.133819499428482	None	5.70385779732674
CTCFL	14.084228345716165	0.0	-1.01929908035141	None	12.6071361736317
CUX1	2.0194749950371063	2.9866363846179264e-72	0.157453043684441	None	14.750343056025699
CUX2	2.0488385132021256	1.258390101921077e-84	3.37743976069239	NR	13.825474747285499
DBP	2.2681205538741454	1.436846825112332e-137	-0.726513663567991	None	29.039911396558495
DLX1	2.320676827616475	0.0	1.17788015241405	None	9.01683578907956
DLX6	2.261789666030362	0.0	-2.03760287567379	None	6.50109570637274
DMRT3	2.348779152591164	1.433985388969017e-111	-1.09440179346414	None	15.021720589071501
DMRTA1	2.383607735258664	1.0943741252878931e-246	1.66330859429454	None	-13.5231268778378
DMRTA2	2.4463454758191845	1.2088252016652007e-239	2.02036351998593	None	5.1066728791686
