chr	start	end	strand	pvalue	qvalue	meth.diff
1	56001	57000	*	2.63435413126269e-07	1.71333767610709e-05	17.2828919904272
1	119001	120000	*	0.00103665342035259	0.0137318802717661	-15.3439153377376
1	123001	124000	*	1.68426681074283e-07	1.16572284959329e-05	-16.7892629393426
1	564001	565000	*	7.96703034702165e-95	2.13145539907904e-90	42.702807757772
1	566001	567000	*	9.15517489923192e-271	1.71452753196089e-265	57.4363978686309
1	751001	752000	*	3.87606221488714e-22	3.28667762139563e-19	16.1505156622973
1	901001	902000	*	1.95572803451498e-24	2.09289880757416e-21	15.8725657024012
1	949001	950000	*	1.38990148789851e-35	3.76456253845955e-32	17.011200385997
1	1109001	1110000	*	5.4698558466371e-32	1.13727802642627e-28	15.8366949505714
1	1181001	1182000	*	6.81547478559064e-38	2.16070988886377e-34	21.7839452149796
1	1182001	1183000	*	1.16940752581868e-41	4.63141554180877e-38	18.0876530642081
1	1242001	1243000	*	1.81200211832217e-43	7.93117864757524e-40	18.36026251352
1	1475001	1476000	*	1.79834598870715e-32	3.88703367711458e-29	23.7473496261324
1	1564001	1565000	*	1.59331615343082e-31	3.17432890355529e-28	16.657439103455
1	2161001	2162000	*	3.71526037375554e-37	1.1196334284835e-33	19.595300380172
1	2162001	2163000	*	2.42217115773656e-36	6.85803497176857e-33	20.2116686882127
1	2211001	2212000	*	6.94229075814804e-22	5.72376154615136e-19	15.2393969325625
1	2455001	2456000	*	1.02525560837828e-25	1.26854842555889e-22	16.1765422432025
1	2462001	2463000	*	2.78337592575787e-16	1.1494031769471e-13	15.0173537177412
1	2988001	2989000	*	4.58015290119595e-27	6.42848978702666e-24	22.8861182799598
1	2989001	2990000	*	2.22856315544249e-33	5.18910441060304e-30	20.1936960028671
1	2991001	2992000	*	3.37476551816722e-25	3.96064837807542e-22	15.5911330040516
1	2994001	2995000	*	4.81881457753488e-12	9.98589248682808e-10	15.4813722967932
1	2995001	2996000	*	2.59448869361203e-60	2.61628040287784e-56	23.0741125881635
1	2996001	2997000	*	9.5599818632944e-38	2.99817269479618e-34	17.2753049848397
1	3099001	3100000	*	2.09493174377053e-42	8.60904647840729e-39	22.0670193995016
1	3267001	3268000	*	4.21464225465224e-20	2.85827967399196e-17	18.981340128705
1	3819001	3820000	*	5.59660206619438e-28	8.46704210503574e-25	22.6446501897699
1	4250001	4251000	*	5.23318763508718e-11	8.77554857870272e-09	-16.6209315810332
1	4905001	4906000	*	1.12665960450411e-05	0.000404435905166332	-16.1221078799464
1	5181001	5182000	*	8.74512073187377e-08	6.59143017088241e-06	21.0719814241486
1	5241001	5242000	*	1.63825119395411e-24	1.76507489267091e-21	-15.4910672961213
1	5308001	5309000	*	0.000863651290634021	0.011997402589494	-18.9048080940369
1	5361001	5362000	*	2.27843569826575e-05	0.000716020723521758	16.0552065974447
1	5658001	5659000	*	1.72564985729941e-14	5.46554043315072e-12	15.4359920135578
1	6208001	6209000	*	3.7882320479948e-14	1.13678960012025e-11	15.9016636793258
1	6879001	6880000	*	8.17337386987158e-20	5.35062726597662e-17	19.7932190713289
1	6978001	6979000	*	1.18236749530778e-13	3.26760412054681e-11	17.6671991007723
1	7454001	7455000	*	0.00148857093418399	0.0179110130883533	-15.6863203685945
1	8570001	8571000	*	8.71210602924894e-32	1.76793580863111e-28	23.0280191202086
1	9747001	9748000	*	7.87348777030617e-50	5.04719056937017e-46	21.5807774877289
1	9910001	9911000	*	1.51595964186804e-28	2.40884884576729e-25	17.7176481127215
1	10698001	10699000	*	1.76254789813173e-43	7.76185419152367e-40	20.1711225584333
1	11099001	11100000	*	5.73742449385801e-07	3.33590525361535e-05	15.9907844309918
1	11714001	11715000	*	1.39473137421858e-81	2.66916767643685e-77	27.7875816993415
1	11924001	11925000	*	1.34777415288633e-11	2.56098383059515e-09	15.6348470065092
1	12107001	12108000	*	2.99511039359696e-18	1.6305428247773e-15	15.6681755540467
1	12239001	12240000	*	4.16079789173513e-33	9.4531525328172e-30	21.3382224680184
1	12494001	12495000	*	9.10514710494434e-11	1.45164005322792e-08	18.7179487166961
1	12503001	12504000	*	1.76609943282255e-81	3.35538159764681e-77	30.289773417838
1	12538001	12539000	*	1.12525695688138e-28	1.80332606926404e-25	18.198989501534
1	12676001	12677000	*	3.70204682858614e-23	3.48766333200382e-20	22.8775059846497
1	12905001	12906000	*	0.000184493036582995	0.00373441150985646	15.8095533498757
1	13326001	13327000	*	1.97429242466949e-10	2.91407695890931e-08	15.0968356995994
1	14029001	14030000	*	7.34823282340299e-30	1.29823962595992e-26	-20.0643251803541
1	14320001	14321000	*	0.000101172548352569	0.00234277213159403	-15.5666429080507
1	14470001	14471000	*	1.93884226302213e-12	4.33472356203412e-10	-15.9951917250343
1	14640001	14641000	*	2.52367186092933e-09	2.88269889971473e-07	-22.8364555720316
1	14647001	14648000	*	8.51546497014968e-17	3.79567658048407e-14	19.5968068100841
1	15137001	15138000	*	1.35299368083415e-23	1.33559120714264e-20	17.2371252708347
1	15481001	15482000	*	1.57330719754248e-43	6.97962199016985e-40	23.9955638799569
1	15504001	15505000	*	3.55616134471737e-24	3.72054227761816e-21	18.5910794436951
1	15668001	15669000	*	1.7240728667304e-18	9.65450610158629e-16	17.5197853469004
1	16470001	16471000	*	7.9458515905e-15	2.64307734614734e-12	15.4104447718496
1	16593001	16594000	*	7.99523087961867e-08	6.09596653937757e-06	15.8434732978645
1	16605001	16606000	*	6.98569224839553e-20	4.6157644639992e-17	17.1736550335212
1	16874001	16875000	*	1.0267078715594e-11	1.99190595867512e-09	17.3048800003559
1	17012001	17013000	*	3.60576563783989e-86	7.6239785228894e-82	18.5440926623184
1	17763001	17764000	*	1.26827862752601e-16	5.49895998054494e-14	16.4610924116103
1	18458001	18459000	*	8.53575294877543e-05	0.00205034877503505	-20.921917278701
1	18953001	18954000	*	4.02552636334945e-17	1.87765130571631e-14	15.0352654838916
1	19275001	19276000	*	9.01840216845115e-16	3.47003074618838e-13	15.1251356777271
1	19810001	19811000	*	1.67838008739288e-43	7.42064197566605e-40	24.3819283803895
1	19977001	19978000	*	9.14931454251303e-18	4.67693908003768e-15	15.3662368593544
1	20751001	20752000	*	6.18922571362955e-07	3.55967778848135e-05	-18.1270020727339
1	20930001	20931000	*	8.9635980181242e-19	5.19264043683242e-16	20.6560115622748
1	21319001	21320000	*	0.000250141531632858	0.00471281464377603	15.6609195402299
1	21369001	21370000	*	1.77675814977457e-06	8.73237362480537e-05	15.5979109427297
1	21396001	21397000	*	3.12207915540718e-18	1.69508920452567e-15	21.0084871269082
1	21476001	21477000	*	4.03137255151884e-12	8.50056759508529e-10	19.9116887781292
1	21707001	21708000	*	0.000518769616918813	0.008194837112338	-18.157768157564
1	21724001	21725000	*	1.04931588751386e-37	3.27906587352512e-34	24.883813112234
1	22033001	22034000	*	1.12810365801261e-27	1.65697761261427e-24	22.1246403514259
1	22240001	22241000	*	4.67506402464067e-14	1.37939010941209e-11	19.400828892836
1	22247001	22248000	*	2.25415917660065e-11	4.08971018425043e-09	15.7450076788118
1	22527001	22528000	*	4.73338128833427e-05	0.00128606415823691	28.1754735761448
1	23888001	23889000	*	7.85450583172271e-15	2.61435087734318e-12	19.3983055571038
1	25057001	25058000	*	8.90309604120216e-29	1.44267463031356e-25	20.7812549338418
1	25512001	25513000	*	7.80198169478186e-22	6.40035421861185e-19	18.9796457832185
1	25655001	25656000	*	4.42281164262633e-15	1.53486375003046e-12	20.2754451884873
1	25958001	25959000	*	6.79493850117075e-21	5.01978810088265e-18	18.3304223094111
1	26092001	26093000	*	3.79777759695621e-16	1.54183301629738e-13	16.0801334686825
1	26492001	26493000	*	4.83954572832161e-21	3.63047350307619e-18	18.6504546651553
1	27012001	27013000	*	7.66218406986107e-51	5.20440553299389e-47	15.0176911284547
1	27025001	27026000	*	7.96767585298732e-06	0.000304500544035983	15.3258364004534
1	27029001	27030000	*	1.42104387180729e-05	0.000489065097960315	25.6888802032441
1	27338001	27339000	*	1.42912347872958e-15	5.35189616240336e-13	16.4390903469022
1	27457001	27458000	*	2.47031810854701e-11	4.44436553151491e-09	15.0940867561752
1	27676001	27677000	*	3.26200295210748e-82	6.33514318218338e-78	18.0104566153841
1	27686001	27687000	*	4.39655869774249e-15	1.52676353151944e-12	15.726961811556
1	27687001	27688000	*	3.81115638484606e-49	2.36223040986573e-45	19.4946108263602
1	27729001	27730000	*	2.94097059451429e-28	4.5464318759317e-25	17.5772681954543
1	27730001	27731000	*	1.29343923595958e-25	1.58837851968609e-22	18.6054506285127
1	27800001	27801000	*	1.99472642969614e-11	3.66349329712908e-09	15.8380675718937
1	27902001	27903000	*	2.47986070358137e-110	8.78620679372484e-106	27.493195480294
1	28502001	28503000	*	7.28346428759187e-18	3.78380720315842e-15	20.2353770680183
1	28650001	28651000	*	2.53788394399572e-08	2.2327094033816e-06	17.7198285513226
1	28743001	28744000	*	4.64638330209972e-05	0.00126726214815618	15.6042884990253
1	29289001	29290000	*	1.87975664779468e-07	1.28097349117345e-05	-18.6722302967773
1	29359001	29360000	*	1.52071007238657e-15	5.67229400308132e-13	21.5537158633907
1	29662001	29663000	*	7.0698442162509e-06	0.000275935782958643	-18.2807016854899
1	29702001	29703000	*	2.98558465942913e-19	1.82634608313307e-16	16.3680748285082
1	29821001	29822000	*	0.000621639223729103	0.00939690816092493	-20.1326259945963
1	30079001	30080000	*	0.000214941990807461	0.00420009151769085	-18.6367753618853
1	30494001	30495000	*	1.73944491996321e-06	8.57615659038026e-05	15.7909475968494
1	30961001	30962000	*	0.00109714488463896	0.0143169658768853	15.486507433235
1	31221001	31222000	*	1.46420545169906e-09	1.76908271570127e-07	15.3489221775667
1	31455001	31456000	*	1.1132512296924e-08	1.07910543387839e-06	16.8667218543046
1	31904001	31905000	*	2.57124501265825e-05	0.000789852124369993	15.2497952268271
1	31917001	31918000	*	7.58859207627578e-07	4.23383462900405e-05	15.1569066760386
1	31944001	31945000	*	5.00214396026571e-20	3.35760653264084e-17	-18.1747600225405
1	32227001	32228000	*	4.17081913088402e-07	2.54335902237167e-05	17.4076038879331
1	32390001	32391000	*	6.34663762023134e-06	0.000252275742278568	20.535502858496
1	32827001	32828000	*	3.54201951616268e-45	1.71023966191841e-41	15.5908527729686
1	33006001	33007000	*	1.71090947036834e-12	3.86633982414377e-10	15.8290703217784
1	34215001	34216000	*	2.80656384076937e-05	0.000847619652485266	-25.5145631039988
1	34770001	34771000	*	1.85245763480094e-06	9.04238125616476e-05	27.8366516063999
1	34842001	34843000	*	0.000318345439729127	0.00566367533883336	-17.5074313691204
1	35083001	35084000	*	1.47231893098236e-11	2.77730895846387e-09	21.1061630655747
1	35437001	35438000	*	8.86384674803927e-15	2.92800431273602e-12	18.3239208858206
1	35454001	35455000	*	2.99007073976302e-06	0.000134893679678553	20.3291536050156
1	35811001	35812000	*	9.24558095180429e-61	9.46891229356119e-57	27.594016473919
1	35840001	35841000	*	4.64488283119946e-38	1.4887689868443e-34	-15.0557789743857
1	35852001	35853000	*	2.66693174934475e-12	5.81042297144636e-10	15.7523246702517
1	37502001	37503000	*	1.49297824632163e-21	1.18616578769073e-18	16.4313344121092
1	38283001	38284000	*	0.00177065286270302	0.0203302194906177	15.771428564903
1	39249001	39250000	*	1.17915546731172e-27	1.72905738932082e-24	16.0780259622851
1	39286001	39287000	*	0.00202105268324772	0.0223683059155262	23.0694037081175
1	39733001	39734000	*	2.00282586215213e-18	1.11275375138233e-15	16.4304183591887
1	39875001	39876000	*	2.71960700350942e-50	1.80973832153988e-46	18.970753737385
1	40040001	40041000	*	7.96044497521267e-21	5.84130902124871e-18	19.1072575465639
1	40155001	40156000	*	0.00323294060827647	0.0312726831873592	17.8882122662027
